Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC EST ENS FUN MONTE LIBANO,43106811,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"R LEMURIA 10, 10 IPANEMA. 91760-530 Porto Alegre - RS.",(51) 32469874,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-30.12988,-51.22735
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC EST ENS FUN NOSSA SENHORA DA CONCEICAO,43106820,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"AV AVENIDA JOAO ANTONIO SILVEIRA 5070, 5070 LOMBA DO PINHEIRO. 91796-022 Porto Alegre - RS.",,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,                              ,                              
ESCOLA PARALISADA,ESC EST ENS FUN PROFESSORA MARIA THEREZA DA SILVEIRA,43106838,RS,Porto Alegre,Urbana,Não Informado,Pública,"R FURRIEL LUIZ ANTONIO DE VARGAS 135, 135 MONT SERRAT. 90470-130 Porto Alegre - RS.",(51) 33307824,Estadual,Não Informado,Não,,,,,-30.02847,-51.1828
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC EST ENS FUN NEHYTA MARTINS RAMOS,43106846,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"AV DO LAMI 1150, 1150 BELEM NOVO. 91782-701 Porto Alegre - RS.",(51) 32591334,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",Atendimento Educacional Especializado,-30.21123,-51.16954
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC EST ENS FUN PROFESSORA AURORA PEIXOTO DE AZEVEDO,43106854,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"R PEDRO DOS SANTOS SA 50 PREDIO, 50 PREDIO. SARANDI. 91120-150 Porto Alegre - RS.",,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-29.98749,-51.13644
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC EST ENS FUN OLEGARIO MARIANO,43106862,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"R OLINDA 99, 99 FLORESTA. 90240-570 Porto Alegre - RS.",(51) 32682236,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-30.01503,-51.20134
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC EST ENS FUN OSCAR SCHMITT,43106870,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"R DO PESCADOR 690, 690 ARQUIPELAGO. 90090-170 Porto Alegre - RS.",(51) 32031915,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC EST ENS FUN OSORIO DUQUE ESTRADA,43106889,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"R CIDADE DE NATAL 125, 125 TRISTEZA. 91900-040 Porto Alegre - RS.",(51) 31057234,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-30.10149,-51.24529
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC EST ENS FUN OTAVIO MANGABEIRA,43106897,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"R SILVIO SILVEIRA SOARES 2711, 2711 CAMAQUA. 91910-460 Porto Alegre - RS.",(51) 32427144,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-30.10436,-51.23346
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC EST ENS FUN OTHELO ROSA,43106900,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"AV INDEPENDENCIA 1065, 1065 INDEPENDENCIA. 90035-077 Porto Alegre - RS.",(51) 32222492,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,-30.02931,-51.21037
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC EST ENS FUN PADRE LEO,43106919,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"R RUA NOSSA SENHORA DE FATIMA 195 PREDIO, 195 PREDIO. RUBEM BERTA. 91250-472 Porto Alegre - RS.",(51) 33661088,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-30.01412,-51.09662
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC EST ENS FUN MARIA CRISTINA CHIKA,43106927,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"ETR JOAO DE OLIVEIRA REMIAO 6505, 6505 LOMBA DO PINHEIRO. 91560-000 Porto Alegre - RS.",(51) 33198365,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-30.12474,-51.1043
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC EST ENS FUN PARAIBA CIEP,43106935,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"R ADAO PINHEIRO DA SILVA 490, 490 ABERTA DOS MORROS. 91751-030 Porto Alegre - RS.",(51) 37798919,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-30.13825,-51.21568
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COL ESTADUAL PARANA,43106943,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"AV TAQUARI 395, 395 CRISTAL. 90810-180 Porto Alegre - RS.",,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-30.078,-51.24217
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC EST ENS FUN VICENTE DA FONTOURA,43106951,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"ETR EDGAR PIRES DE CASTRO 5580, 5580 BELEM NOVO. 91785-199 Porto Alegre - RS.",(51) 32482287,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-30.17661,-51.14472
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC EST ENS FUN PAULINA MORESCO,43106960,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"R TOME ANTONIO DE SOUZA 160 PREDIO, 160 PREDIO. ABERTA DOS MORROS. 91750-170 Porto Alegre - RS.",(51) 32612036,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,,-30.13357,-51.19804
ESCOLA PARALISADA,ESC EST ENS FUN PADRE THEODORO AMSTAD,43106978,RS,Porto Alegre,Urbana,Não Informado,Pública,"R VALENTIM VICENTINI 255, 255 IAPI. 90520-220 Porto Alegre - RS.",(51) 33416002,Estadual,Não Informado,Não,,,,,-30.01617,-51.17752
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC EST ENS FUN PEDRO AMERICO,43106986,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"ETR CHAPEU DO SOL 1680, 1680 BELEM NOVO. 91787-030 Porto Alegre - RS.",,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-30.18311,-51.16323
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC EST ENS FUN PEDRO SIRANGELO,43106994,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"AV JOSE CORREA DA SILVA 380, 380 JARDIM DAS PALMEIRAS. 91740-380 Porto Alegre - RS.",,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-30.10654,-51.22427
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC EST ENS FUN PIAUI,43107001,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"R GREGORIO DA FONSECA 91, 91 NONOAI. 90830-260 Porto Alegre - RS.",(51) 32662033,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-30.08824,-51.22351
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC EST ENS FUN PORTO ALEGRE,43107036,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"R JOAO DALLEGRAVE 130, 130 MORRO SANTANA. 91260-170 Porto Alegre - RS.",(51) 33877988,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-30.03789,-51.12552
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC EST ENS FUN SIMOES LOPES NETO,43107044,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"TRV IRMAO PEDRO SN, SN TERESOPOLIS. 91720-360 Porto Alegre - RS.",,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-30.08544,-51.20798
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC EST ENS FUN GENOVEVA DA COSTA BERNARDES,43107052,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"ETR OTAVIANO JOSE PINTO 50, 50 LAMI. 91787-660 Porto Alegre - RS.",,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-30.24108,-51.08015
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC EST ENS FUN PROFESSOR AFONSO GUERREIRO LIMA,43107060,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"R RUA BANCO INGLES 300 ESCOLA, 300 ESCOLA. SANTA TEREZA. 90840-600 Porto Alegre - RS.",(51) 32320122,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-30.07187,-51.22134
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC EST ENS MED PROFESSOR ALCIDES CUNHA,43107079,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"R HELIO PIMPAO 52, 52 MORRO SANTANA. 91450-330 Porto Alegre - RS.",(51) 33861032,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-30.03896,-51.12339
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC EST ENS FUN AURELIO REIS,43107087,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"R MONTE ALEGRE 119, 119 JARDIM FLORESTA. 91040-120 Porto Alegre - RS.",(51) 33625791,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-30.00283,-51.15659
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC EST ENS FUN PROF CARLOS RODRIGUES DA SILVA,43107095,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"R GUARACAPA 33, 33 SANTA MARIA GORETTI. 91030-150 Porto Alegre - RS.",(51) 33883327,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,-30.00511,-51.17367
