Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA ATENDE EXCLUSIVAMENTE ALUNOS COM DEFICIÊNCIA,UNIDADE NAZARETH APAE POA,43179622,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA GENERAL JONATHAS BORGES FORTES, 339 GLORIA. 91720-020 Porto Alegre - RS.",(51) 30928700,Privada,Filantrópica,Sim,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-30.07646321,-51.1928477
ESCOLA ATENDE EXCLUSIVAMENTE ALUNOS COM DEFICIÊNCIA,UNIDADE DR JOAO ALFREDO DE AZEVEDO APAE DE PORTO ALEGRE,43179886,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA CATARINO ANDREATTA, 80 VILA NOVA. 91750-040 Porto Alegre - RS.",(51) 32481313,Privada,Filantrópica,Sim,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-30.11891,-51.20707
ESCOLA ATENDE EXCLUSIVAMENTE ALUNOS COM DEFICIÊNCIA,ESC EST ENS MED PARA SURDOS PROF LILIA MAZERON,43180523,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"R MORRETES 222 PREDIO, 222 PREDIO. SANTA MARIA GORETTI. 91030-300 Porto Alegre - RS.",(51) 33419498,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-30.00627,-51.17802
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC EST ENS MED TOM JOBIM,43180728,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"AV JACUI, S/N 00 FASE, 00 FASE. CRISTAL. 90810-150 Porto Alegre - RS.",(51) 32477546,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EMEI OSMAR DOS SANTOS FREITAS,43181112,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"BC UM RUA DONA OTILIA, 497 SANTA TEREZA. SANTA TEREZA. 90830-582 Porto Alegre - RS.",(51) 32895856,Municipal,Não Informado,Não,Não,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.0818356,-51.2263548
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC ENS FUND SAO FRANCISCO - SANTA FE,43181139,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"AVENIDA DELMAR ROCHA BARBOSA, 234 ESCOLA. RUBEM BERTA. 91180-490 Porto Alegre - RS.",(51) 33669652,Privada,Confessional,Não,Em Tramitação,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental","Atendimento Educacional Especializado, Atividade Complementar",                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC NEO-HUMANISTA DE ENS FUND ANANDA MARGA,43181147,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"AVENIDA ECONOMISTA NILO WULFF, 939 RESTINGA. 91790-000 Porto Alegre - RS.",(51) 32501177,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-30.1504157,-51.1452647
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEF CRISTA DA BRASA,43181155,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"AVENIDA FLORIANOPOLIS, 359 AZENHA. 90880-460 Porto Alegre - RS.",(51) 34076796,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-30.05633,-51.21377
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EMEI PAULO FREIRE,43181376,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"AV MERIDIONAL, 0 ESQUINA RUA TOBAGO. RESTINGA. 91790-070 Porto Alegre - RS.",(51) 32891901,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.1561227,-51.1377943
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC EDUC PROF MAN AERON OTTO E MEYER,43182259,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"AV. JOSE ALOISIO FILHO, 695 HUMAITA. 91030-270 Porto Alegre - RS.",(51) 30264952,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Profissional,,-30.00005,-51.18763
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EMEF MARIO QUINTANA,43183018,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"R C VILA CASTELO, 1 RESTINGA. 91790-200 Porto Alegre - RS.",(51) 32891903,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,"Atendimento Educacional Especializado, Atividade Complementar",-30.1536217,-51.1319332
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5054 EEI CASA DA CRIANCA ALGODAO DOCE,43183069,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"R SAO MARCOS - LOMBA DO PINHEIRO, 150 LOMBA DO PINHEIRO. 91570-380 Porto Alegre - RS.",(51) 30192458,Privada,Comunitária,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.1179578,-51.0971373
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5029 EEI CANTINHO DOS PIAS,43184960,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"R THOMAZ FRANCISCO DE JESUS, 412 JARDIM CARVALHO. 91430-750 Porto Alegre - RS.",(51) 33387776,Privada,Comunitária,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.0499294,-51.1462807
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5049 IEI BRINCANDO DE CIRANDA,43184979,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"R JOSE MADRID, 736 JARDIM CARVALHO. 91430-580 Porto Alegre - RS.",(51) 33814301,Privada,Comunitária,Sim,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-30.0492423,-51.1509889
ESCOLA PARALISADA,ESCOLA RIBEIRO E PEDROZO LTDA,43184987,RS,Porto Alegre,Urbana,Não Informado,Privada,"R AUGUSTO COMTE, 80 CAVALHADA. 91910-370 Porto Alegre - RS.",(51) 990189001,Privada,Não Informado,Não,,,,,-30.09781,-51.23299
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5254 ECEI SAO FRANCISCO DE ASSIS,43184995,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"R ALBERTO TORRES, 194 CIDADE BAIXA. 90050-080 Porto Alegre - RS.",(51) 32248180,Privada,Comunitária,Sim,Em Tramitação,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.04081,-51.22151
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA DE EDUCACAO INFANTIL TURMINHA DO BARULHO SC LTDA,43185002,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA WALDOMIRO SCHAPKE, 125 PARTENON. 91530-390 Porto Alegre - RS.",(51) 33368905,Privada,Particular,Não,Não,Até 50 matrículas de escolarização,Educação Infantil,,-30.05886,-51.15804
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5041 EEI MENSAGEIROS DA LUZ,43185045,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"TRAV. CEL ANTONIO CARNEIRO PINTO, 195 PETROPOLIS. 90460-020 Porto Alegre - RS.",(51) 33352849,Privada,Comunitária,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.0369671,-51.1854302
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5070 IEI CENEAMM 1 DE MAIO,43185053,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"ESTR BARCELLOS, 2268 CASCATA. 91712-300 Porto Alegre - RS.",(51) 33184152,Privada,Comunitária,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.0907206,-51.179328
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5038 IEI NOSSA SENHORA DE FATIMA -BOM JESUS,43185070,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"R OITO VILA MATO SAMPAIO, 32 BOM JESUS. 91420-591 Porto Alegre - RS.",(51) 30159877,Privada,Comunitária,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.0495658,-51.1600356
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5051 EEI TURMA DO BARULHO,43185088,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"R TANAUI DA SILVA BOEIRA, 209 LOMBA DO PINHEIRO. 91570-440 Porto Alegre - RS.",(51) 30265796,Privada,Comunitária,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.1227998,-51.1027429
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5082 IEI MEDIANEIRA,43185096,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"R CAIXA ECONOMICA, 320 SANTA TEREZA. 90840-610 Porto Alegre - RS.",(51) 32233558,Privada,Comunitária,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.0725293,-51.2235659
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5086 EEI ARAPEI,43185118,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"R ARAPEI, 103 ACESSO 7. CRISTAL. 90830-470 Porto Alegre - RS.",(51) 32410360,Privada,Comunitária,Sim,Não,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.0863338,-51.2294967
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5024 IEI LAR DA CRIANCA MENINO JESUS DE PRAGA,43185169,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"R WOLFRAM METZLER, 334 RUBEM BERTA. 91250-320 Porto Alegre - RS.",(51) 33664599,Privada,Comunitária,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.0235552,-51.1047559
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5069 IEI CRECHE LAR DA CRIANCA,43185185,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"R NOSSA SENHORA DO BRASIL-SANTA TERESA, 83 SANTA TEREZA. 90850-510 Porto Alegre - RS.",(51) 32320503,Privada,Comunitária,Sim,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-30.0699447,-51.2224929
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5055 IEI VOVO IDA,43185207,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA DONA FIRMINA, 1583 VILA JOAO PESSOA. 91520-210 Porto Alegre - RS.",(51) 33250757,Privada,Comunitária,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.0759542,-51.1685722
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5101 EEI BEM-ME-QUER,43185223,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"R DR JULIO TEIXEIRA, 201 VILA NOVA. 91751-290 Porto Alegre - RS.",(51) 31099750,Privada,Comunitária,Sim,Não,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.1310985,-51.2152177
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5203 EEI AMIGO GERMANO,43185231,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"R SANTANA, 1225 FARROUPILHA. 90040-372 Porto Alegre - RS.",(51) 32333392,Privada,Comunitária,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.0485517,-51.2075464
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5100 IEI ISABEL VIEIRA,43185240,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA NOVA IPANEMA, 34 HIPICA. 91755-200 Porto Alegre - RS.",(51) 31105904,Privada,Comunitária,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.1532525,-51.2013379
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5097 EEI PASSO A PASSO,43185258,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA MORRO ALTO, 485 ABERTA DOS MORROS. 91751-650 Porto Alegre - RS.",(51) 984435706,Privada,Comunitária,Sim,Não,Até 50 matrículas de escolarização,Educação Infantil,,-30.1366918,-51.2110045
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5019 IEI VOVO CAZEMIRO -ACM CRUZEIRO,43185266,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA CRUZEIRO DO SUL, 2702 SANTA TEREZA. 90840-000 Porto Alegre - RS.",(51) 32666200,Privada,Filantrópica,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.0844793,-51.2301529
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5035 EEI NOSSA SENHORA APARECIDA VILA PINTO,43185274,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"R J VILA FATIMA-PINTO, 220 BOM JESUS. 91420-120 Porto Alegre - RS.",(51) 30267499,Privada,Comunitária,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.0501193,-51.1544744
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5072 IEI AMAVTRON,43185282,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"R CAIXA ECONOMICA, 633 SANTA TEREZA. 90840-610 Porto Alegre - RS.",(51) 32333150,Privada,Comunitária,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.0745487,-51.2222956
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5182 EEI CRECHE NAVEGANTES,43185290,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"AV POLONIA, 625 SAO GERALDO. 90230-110 Porto Alegre - RS.",(51) 33422324,Privada,Comunitária,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.0088293,-51.2025341
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5003 EEI ESTRELINHA DO CEU,43185304,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"R ULYSSES DE ALENCASTRO BRANDAO, 205 SARANDI. 91140-400 Porto Alegre - RS.",(51) 33645165,Privada,Comunitária,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-29.9896111,-51.1196226
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5053 IEI BALAO MAGICO,43185312,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA RIO NEGRO - LOMBA DO PINHEIRO, 59 LOMBA DO PINHEIRO. 91570-330 Porto Alegre - RS.",(51) 30224531,Privada,Comunitária,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.1186663,-51.0962297
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5027 IEI GIRASSOL,43185320,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"R WOLFRAM METZLER, 567 RUBEM BERTA. 91250-320 Porto Alegre - RS.",(51) 33660296,Privada,Comunitária,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.0245367,-51.1031299
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5037 IEI AELCA,43185355,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"R GEN SALVADOR PINHEIRO, 799 VILA JARDIM. 91320-240 Porto Alegre - RS.",(51) 33346222,Privada,Confessional,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.0373761,-51.1505003
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5021 EEI GALPAOZINHO,43185363,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"R DONA BECA, 120 RUBEM BERTA. 91150-000 Porto Alegre - RS.",(51) 33741768,Privada,Comunitária,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.0002273,-51.1072645
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5030 EEI TRES CORACOES,43185371,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"R DEZESSEIS VILA MATO SAMPAIO, 623 BOM JESUS. 91420-620 Porto Alegre - RS.",(51) 33873108,Privada,Comunitária,Sim,Não,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.047757,-51.1623576
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5007 IEI EUGENIA CONTE,43185398,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA K, 120 RUBEM BERTA. 91160-170 Porto Alegre - RS.",(51) 999750870,Privada,Confessional,Sim,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-29.9943402,-51.1057893
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EMEI MAMAE CORUJA,43185401,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"AV BENTO GONCALVES, 642 AZENHA. 90650-000 Porto Alegre - RS.",(51) 32891886,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.0519386,-51.2066309
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5013 IEI SANTA LUIZA,43185410,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"R IRMA MARIA JOSE TREVISAN, 30 FARRAPOS. 90250-430 Porto Alegre - RS.",(51) 33744986,Privada,Confessional,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-29.9801785,-51.1944606
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5061 IEI VO BELINHA,43185436,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA MIGUEL OLVICTO DOS SANTOS, 71 LOMBA DO PINHEIRO. 91550-280 Porto Alegre - RS.",(51) 31033105,Privada,Comunitária,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.0972645,-51.1360452
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5089 EEI VO MARIA,43185444,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"BECO 14 VILA ORFANATROFIO II, 54 CRISTAL. 90830-563 Porto Alegre - RS.",(51) 32660181,Privada,Comunitária,Sim,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-30.0865126,-51.2273637
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5063 IEI NOSSA SENHORA APARECIDA -VILA PINHAL,43185479,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"R ABACATEIRO, 195 LOMBA DO PINHEIRO. 91560-480 Porto Alegre - RS.",(51) 991189282,Privada,Comunitária,Sim,Não,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.1203592,-51.1066651
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5004 EEI ESTRELINHA DO AMANHA,43185495,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"AV DONARIO BRAGA, 159 RUBEM BERTA. 91160-360 Porto Alegre - RS.",(51) 33340223,Privada,Comunitária,Sim,Não,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-29.9981267,-51.0998618
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5042 IEI PIU PIU,43185517,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"R JACINTO GOMES, 683 SANTANA. 90040-270 Porto Alegre - RS.",(51) 30296737,Privada,Comunitária,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.04254,-51.20864
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5017 EEI NEGRINHO DO PASTOREIO,43185525,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"R WOLFRAM METZLER, 21 RUBEM BERTA. 91250-320 Porto Alegre - RS.",(51) 33665808,Privada,Comunitária,Sim,Não,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.0230287,-51.1066541
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5108 EEI PADRE PEDRO LEONARDI I,43185533,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"ESTR BARRO VERMELHO, 542 RESTINGA. 91790-100 Porto Alegre - RS.",(51) 32505008,Privada,Confessional,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.1628744,-51.1454685
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5020 EEI MADRE TERESA,43185541,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"R WOLFRAM METZLER, 605 RUBEM BERTA. 91250-320 Porto Alegre - RS.",(51) 33663177,Privada,Filantrópica,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.0245675,-51.1034946
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5026 IEI CRIANCA ESPERANCA,43185568,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"R JOAO BRAVO DE ALMEIDA, 101 SARANDI. 91180-035 Porto Alegre - RS.",(51) 33484428,Privada,Comunitária,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.0084627,-51.1237528
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5107 EEI ARCO IRIS I,43185584,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"R TOBAGO, 1258 RESTINGA. 91790-530 Porto Alegre - RS.",(51) 32610170,Privada,Comunitária,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.155906,-51.1372846
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5059 EEI ACOMUR,43185592,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA VIDAL DE NEGREIROS, 996 VILA SAO JOSE. 91520-480 Porto Alegre - RS.",(51) 33183231,Privada,Comunitária,Sim,Não,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.0703867,-51.1671969
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5056 EEI PAINEIRAS,43185606,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"LG PAINEIRAS, 477 VILA JOAO PESSOA. 91510-070 Porto Alegre - RS.",(51) 33284708,Privada,Comunitária,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.0713849,-51.1747845
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5062 IEI ESTRELA MAGICA,43185614,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"R SANTA CATARINA ESTR JOAO DE O REMIAO, 30 LOMBA DO PINHEIRO. 91560-000 Porto Alegre - RS.",(51) 20420847,Privada,Comunitária,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.1219697,-51.1085822
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5223 IEI SANTA TERESINHA,43185622,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"AV VENANCIO AIRES, 1030 FARROUPILHA. 90040-192 Porto Alegre - RS.",(51) 33311289,Privada,Comunitária,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.0376285,-51.2104916
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5058 EEI TOPO GIGIO,43185649,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA SAO JOSE VILA SAO JOSE COMUNITARIA, 29 VILA SAO JOSE. 91520-470 Porto Alegre - RS.",(51) 33158057,Privada,Comunitária,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.0772698,-51.1638843
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO UNIFICADO RAMIRO,43186700,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA RAMIRO BARCELOS, 442 MOINHOS DE VENTO. 90035-002 Porto Alegre - RS.",(51) 30921640,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-30.02815,-51.22195
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5066 EEI MEU NENE,43187137,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"R ERNESTO LISCANO, 195 VILA ESMERALDA. AGRONOMIA. 91540-310 Porto Alegre - RS.",(51) 997431960,Privada,Comunitária,Sim,Não,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.0882007,-51.1266516
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,FILHOTINHO CENTRO DE EDUCACAO INFANTIL LTDA,43187358,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA OSMINDO JULIO KUHN, 220 RUBEM BERTA. 91180-730 Porto Alegre - RS.",(51) 33663890,Privada,Particular,Não,Não,Até 50 matrículas de escolarização,Educação Infantil,,-30.01275,-51.10729
